LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
gpt-4o,hard,gunning_fog,1,62,heldout_refit_on_rule_activations,0.47966680312835264,3.4137858285696354,0.6652616710298234,1.0,1.0
gpt-4o,hard,gunning_fog,3,62,heldout_refit_on_rule_activations,0.5549054837637402,3.2615675892488682,0.7110106927034671,1.0,1.0
gpt-4o,hard,gunning_fog,10,62,heldout_refit_on_rule_activations,0.6873685189856751,2.631772684009488,0.7932152622035297,1.0,1.0
llama3.1:70b,medium,framing_effect,1,55,heldout_refit_on_rule_activations,0.7568814450476801,0.4937735761312876,0.7712253878010897,1.0,1.0
llama3.1:70b,medium,framing_effect,3,55,heldout_refit_on_rule_activations,0.7646238146945202,0.49454674683900507,0.7706298557274408,1.0,1.0
llama3.1:70b,medium,framing_effect,10,55,heldout_refit_on_rule_activations,0.7701420870237198,0.47719234299173263,0.6835828160657088,1.0,1.0
gpt-4o-mini,hard,explanation_length,1,71,heldout_refit_on_rule_activations,0.0019671084300229014,43.99737943989504,0.12553339087574178,-0.006194887371311931,0.0
gpt-4o-mini,hard,explanation_length,3,71,heldout_refit_on_rule_activations,0.8185719385326734,38.20928950743865,0.14472868104674266,0.9072862975694118,0.9032258064516129
gpt-4o-mini,hard,explanation_length,10,71,heldout_refit_on_rule_activations,0.8645954209897887,33.90122710124809,0.4645797912638651,0.9457670227854099,0.9444444444444444
gpt-3.5-turbo,easy,information_overload,1,6,heldout_refit_on_rule_activations,0.7818112542654876,0.02752941366947349,0.7579658018333333,1.0,1.0
gpt-3.5-turbo,easy,information_overload,3,6,heldout_refit_on_rule_activations,0.7847794171505831,0.02698275554983319,0.2068500135711834,1.0,1.0
gpt-3.5-turbo,easy,information_overload,10,6,heldout_refit_on_rule_activations,0.7899389017654574,0.02984647087111374,0.19568428966691112,1.0,1.0
gpt-4o,easy,explanation_length,1,23,heldout_refit_on_rule_activations,0.9816251760852115,27.460416526762053,0.2606280370782287,1.0,1.0
gpt-4o,easy,explanation_length,3,23,heldout_refit_on_rule_activations,0.9828632214252541,27.563565913061904,0.26062551751954705,1.0,1.0
gpt-4o,easy,explanation_length,10,23,heldout_refit_on_rule_activations,0.9828360431764549,26.42004604861349,0.37480777463067255,1.0,1.0
gpt-3.5-turbo,easy,explanation_length,1,15,heldout_refit_on_rule_activations,0.9444962778174347,26.474883724461154,0.15783685793976676,1.0,1.0
gpt-3.5-turbo,easy,explanation_length,3,15,heldout_refit_on_rule_activations,0.949539603445917,24.534826109348447,0.3849541279276593,1.0,1.0
gpt-3.5-turbo,easy,explanation_length,10,15,heldout_refit_on_rule_activations,0.9504161662963182,24.09172924553573,0.41065916741665437,1.0,1.0
llama3.1,medium,explanation_length,1,26,heldout_refit_on_rule_activations,0.902527372479495,81.03888046940482,0.34682017802986603,1.0,1.0
llama3.1,medium,explanation_length,3,26,heldout_refit_on_rule_activations,0.9493904580862766,72.83825422025646,0.3468361976594683,1.0,1.0
llama3.1,medium,explanation_length,10,26,heldout_refit_on_rule_activations,0.955057975555031,50.73774321126634,0.8067239287385052,1.0,1.0
gpt-3.5-turbo,medium,subjectivity_score_nn,1,22,heldout_refit_on_rule_activations,0.5910827976524,0.18335435003775122,0.658352467133267,1.0,1.0
gpt-3.5-turbo,medium,subjectivity_score_nn,3,22,heldout_refit_on_rule_activations,0.5882728299205007,0.1828277328885801,0.6580757081978649,1.0,1.0
gpt-3.5-turbo,medium,subjectivity_score_nn,10,22,heldout_refit_on_rule_activations,0.5901872138504887,0.18031259265829755,0.5714244821969334,1.0,1.0
llama3.1,easy,explanation_length,1,37,heldout_refit_on_rule_activations,0.9438472904993401,28.596939502106284,0.12479770560620822,1.0,1.0
llama3.1,easy,explanation_length,3,37,heldout_refit_on_rule_activations,0.9599821873732182,27.742799161795347,0.12479787756341199,1.0,1.0
llama3.1,easy,explanation_length,10,37,heldout_refit_on_rule_activations,0.9633509345500153,27.99526516943769,0.12479799217759538,1.0,1.0
llama3.1:70b,hard,information_overload,1,21,heldout_refit_on_rule_activations,0.9048469355554206,0.38653573911967926,0.9015930422236207,1.0,1.0
llama3.1:70b,hard,information_overload,3,21,heldout_refit_on_rule_activations,0.9111212492380028,0.3593929686813855,0.8997457978086263,1.0,1.0
llama3.1:70b,hard,information_overload,10,21,heldout_refit_on_rule_activations,0.9147816617497244,0.34600267874877555,0.8178300867845503,1.0,1.0
gpt-4o,medium,framing_effect,1,30,heldout_refit_on_rule_activations,0.782790948015507,0.24191036382697936,0.9332979541825296,1.0,1.0
gpt-4o,medium,framing_effect,3,30,heldout_refit_on_rule_activations,0.8074796268646212,0.20883108920414492,0.9317784474831863,1.0,1.0
gpt-4o,medium,framing_effect,10,30,heldout_refit_on_rule_activations,0.8333243725869883,0.19417943669071164,0.9191717774949203,1.0,1.0
gpt-3.5-turbo,medium,information_overload,1,21,heldout_refit_on_rule_activations,0.30188015281612657,0.5397293136888678,0.6644370953392272,0.9894077086284027,0.9920893438808748
gpt-3.5-turbo,medium,information_overload,3,21,heldout_refit_on_rule_activations,0.3282473240226864,0.5255095123684996,0.6678720786878317,1.0,1.0
gpt-3.5-turbo,medium,information_overload,10,21,heldout_refit_on_rule_activations,0.3266143614171829,0.5223081182651685,0.5903332249915756,1.0,1.0
llama3.1:70b,hard,oversimplification,1,115,heldout_refit_on_rule_activations,0.10010278266189043,0.7400452082300372,0.3097832065892884,-0.023062749001617314,0.013831258644536652
llama3.1:70b,hard,oversimplification,3,115,heldout_refit_on_rule_activations,0.09958963869172044,0.7357917526958809,0.1955569852110798,-0.023062749001617314,0.013831258644536652
llama3.1:70b,hard,oversimplification,10,115,heldout_refit_on_rule_activations,0.10713154809506908,0.7253046598847579,0.2375189176350791,0.06861828451445008,0.07791304347826086
gpt-4o,medium,oversimplification,1,53,heldout_refit_on_rule_activations,-0.000700719327234145,0.21630763505866532,0.02088279693063987,-0.1746989979441602,0.0
gpt-4o,medium,oversimplification,3,53,heldout_refit_on_rule_activations,0.2383850986728029,0.17383952880018116,0.3171394725443396,0.9876536925212577,0.9883616830796778
gpt-4o,medium,oversimplification,10,53,heldout_refit_on_rule_activations,0.2950484667546186,0.16777849380805013,0.33691172207901016,0.9876536925212577,0.9883616830796778
llama3.1,hard,subjectivity_score_nn,1,21,heldout_refit_on_rule_activations,0.8148474874979261,0.08729002497039659,0.7874788702131773,0.9649140418778575,0.9756534727408513
llama3.1,hard,subjectivity_score_nn,3,21,heldout_refit_on_rule_activations,0.8219596731385974,0.08417891004533123,0.7859023145208085,1.0,1.0
llama3.1,hard,subjectivity_score_nn,10,21,heldout_refit_on_rule_activations,0.8299800327315321,0.08165202578181012,0.782256959658401,1.0,1.0
gpt-4o-mini,hard,framing_effect,1,24,heldout_refit_on_rule_activations,0.6039559986301387,0.21825234750689476,0.8254421346462073,1.0,1.0
gpt-4o-mini,hard,framing_effect,3,24,heldout_refit_on_rule_activations,0.6832119874763596,0.19715076236641327,0.860529507616023,1.0,1.0
gpt-4o-mini,hard,framing_effect,10,24,heldout_refit_on_rule_activations,0.7404109457685824,0.1688404685434741,0.8707924684400935,1.0,1.0
llama3.1,medium,oversimplification,1,83,heldout_refit_on_rule_activations,0.044553199864973636,0.32958072462891486,0.16732909126982323,-0.027055007620442884,0.0
llama3.1,medium,oversimplification,3,83,heldout_refit_on_rule_activations,0.20413341617112313,0.39197650526561223,0.4211910533715177,0.003776023287363709,0.04756380510440835
llama3.1,medium,oversimplification,10,83,heldout_refit_on_rule_activations,0.223657305045323,0.3834283391387857,0.44043142458408996,0.04077300316074129,0.07231920199501247
gpt-4o,hard,framing_effect,1,49,heldout_refit_on_rule_activations,0.5661710306489871,0.3714260411608552,0.7911719444186792,1.0,1.0
gpt-4o,hard,framing_effect,3,49,heldout_refit_on_rule_activations,0.7610566345950073,0.26123853417609477,0.8674671962350646,1.0,1.0
