LLM,Complexity,Metric,TopK,FeatureCount,EvalMode,r2,mae,spearman,mcc,f1
llama3.1:70b,medium,subjectivity_score_nn,10,10,heldout_refit_on_topk_features,0.75338318537056,0.12333761097789632,0.5765220394238141,,
llama3.1:70b,hard,explanation_length,1,1,heldout_refit_on_topk_features,0.30666455466462883,189.1067243752888,0.25837906146798095,,
llama3.1:70b,hard,explanation_length,3,3,heldout_refit_on_topk_features,0.33574969435490887,184.0361399095697,0.4404585730169375,,
llama3.1:70b,hard,explanation_length,10,10,heldout_refit_on_topk_features,0.3419386061078178,177.8388751200302,0.5048403651735217,,
llama3.1:70b,hard,subjectivity_score_nn,1,1,heldout_refit_on_topk_features,0.21573451039458613,0.11431981302946154,0.5590050882601584,,
llama3.1:70b,hard,subjectivity_score_nn,3,3,heldout_refit_on_topk_features,0.22353596904681305,0.11484518966959784,0.5108010452282988,,
llama3.1:70b,hard,subjectivity_score_nn,10,10,heldout_refit_on_topk_features,0.3702993958807178,0.14045735515316876,0.5003837521782097,,
llama3.1:70b,hard,gunning_fog,1,1,heldout_refit_on_topk_features,0.6588623269125555,3.315408504392298,0.7971924831751126,,
llama3.1:70b,hard,gunning_fog,3,3,heldout_refit_on_topk_features,0.6972783979525323,3.166256783354324,0.790125934014829,,
llama3.1:70b,hard,gunning_fog,10,10,heldout_refit_on_topk_features,0.7057648037631903,3.1116185844323354,0.7883750699707857,,
