LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
llama3.1:70b,hard,information_overload,3,88,heldout_refit_on_rule_activations,0.90755812796654,0.38445324111416157,0.8993634090857625,0.9992136063022061,0.9995050321729088
llama3.1:70b,hard,information_overload,10,88,heldout_refit_on_rule_activations,0.9144934921587642,0.350424269259624,0.8709842455696325,0.9992136063022061,0.9995050321729088
gpt-3.5-turbo,easy,information_overload,1,34,heldout_refit_on_rule_activations,0.7818112542654876,0.02752941366947349,0.7579658018333333,1.0,1.0
gpt-3.5-turbo,easy,information_overload,3,34,heldout_refit_on_rule_activations,0.8018622011882127,0.027110798063396075,0.7579586839455194,1.0,1.0
gpt-3.5-turbo,easy,information_overload,10,34,heldout_refit_on_rule_activations,0.8107553336314628,0.02628544902465777,0.24361501246423498,1.0,1.0
gpt-3.5-turbo,hard,explanation_length,1,32,heldout_refit_on_rule_activations,0.8944339212212802,43.30411968221565,0.19737512536050342,1.0,1.0
gpt-3.5-turbo,hard,explanation_length,3,32,heldout_refit_on_rule_activations,0.9354198428016411,36.166578263961405,0.45076820322208433,1.0,1.0
gpt-3.5-turbo,hard,explanation_length,10,32,heldout_refit_on_rule_activations,0.9471940648347004,30.927697369481592,0.6129212136096189,1.0,1.0
llama3.1:70b,easy,explanation_length,1,32,heldout_refit_on_rule_activations,0.9704059971594673,39.60628165846809,0.31772849118970536,0.998246035202015,0.9983079526226735
llama3.1:70b,easy,explanation_length,3,32,heldout_refit_on_rule_activations,0.9715803733610346,39.48633112825236,0.31772849118970536,1.0,1.0
llama3.1:70b,easy,explanation_length,10,32,heldout_refit_on_rule_activations,0.9773029031716399,36.651539642743366,0.31773718684772634,1.0,1.0
gpt-4o-mini,easy,oversimplification,1,61,heldout_refit_on_rule_activations,0.03995503281188184,0.4438744908310116,0.19860001296014748,0.2119190177446705,0.4824021658872754
gpt-4o-mini,easy,oversimplification,3,61,heldout_refit_on_rule_activations,0.04182687426511156,0.44332551108728396,0.1926069615018502,0.2155570701160343,0.4913139221923171
gpt-4o-mini,easy,oversimplification,10,61,heldout_refit_on_rule_activations,0.059524332605690455,0.43296154530038583,0.24176197802225907,0.47303175357703986,0.39069767441860465
gpt-4o,hard,information_overload,1,117,heldout_refit_on_rule_activations,0.19590180799934032,0.9024598717901483,0.5029738889442108,0.9858157366376821,0.9915289543119011
gpt-4o,hard,information_overload,3,117,heldout_refit_on_rule_activations,0.7310562789333008,0.40631530068310845,0.8586149753133091,1.0,1.0
gpt-4o,hard,information_overload,10,117,heldout_refit_on_rule_activations,0.8208272586681443,0.30236405593875876,0.8910090285666713,1.0,1.0
llama3.1:70b,medium,framing_effect,1,59,heldout_refit_on_rule_activations,0.7568814450476801,0.4937735761312876,0.7712253878010897,1.0,1.0
llama3.1:70b,medium,framing_effect,3,59,heldout_refit_on_rule_activations,0.7610003178255935,0.4851761976434162,0.7659597012851082,1.0,1.0
llama3.1:70b,medium,framing_effect,10,59,heldout_refit_on_rule_activations,0.7719813295774475,0.4724674355423589,0.7027654271452088,1.0,1.0
llama3.1:70b,easy,information_overload,1,12,heldout_refit_on_rule_activations,0.7918257049721681,0.050044799461988664,0.8896549781071484,0.9964894294656932,0.9966101694915255
llama3.1:70b,easy,information_overload,3,12,heldout_refit_on_rule_activations,0.8003061803188631,0.04810854829055891,0.8896278534743469,0.998246035202015,0.9983079526226735
llama3.1:70b,easy,information_overload,10,12,heldout_refit_on_rule_activations,0.8087244473488776,0.04472412721312115,0.5319457860000214,0.998246035202015,0.9983079526226735
gpt-3.5-turbo,hard,information_overload,1,30,heldout_refit_on_rule_activations,0.23265696093787835,0.6751744671240318,0.38935647229564313,0.9310128105419344,0.9948400412796697
gpt-3.5-turbo,hard,information_overload,3,30,heldout_refit_on_rule_activations,0.47128430890656337,0.5345276425160965,0.7250595253742834,0.9981337292009677,0.9995151123323097
gpt-3.5-turbo,hard,information_overload,10,30,heldout_refit_on_rule_activations,0.4730026665576287,0.5371830693868094,0.6116140102035543,0.9981337292009677,0.9995151123323097
llama3.1,hard,oversimplification,1,88,heldout_refit_on_rule_activations,0.17678176249409217,0.4049708203863052,0.4208719045573529,-0.22051733555383596,0.0
llama3.1,hard,oversimplification,3,88,heldout_refit_on_rule_activations,0.19983728642702647,0.40482679747418016,0.43242670311843917,-0.03351018416210833,0.06052269601100413
llama3.1,hard,oversimplification,10,88,heldout_refit_on_rule_activations,0.2309238213371838,0.39699017011966903,0.44433391170302533,-0.0032764752536713067,0.051440329218107
llama3.1,medium,framing_effect,1,100,heldout_refit_on_rule_activations,0.695068341577439,0.53310154311838,0.8075175226659043,0.9997834727769831,0.9999294134255664
llama3.1,medium,framing_effect,3,100,heldout_refit_on_rule_activations,0.7083788068624477,0.5154488715311052,0.8020415088441092,0.9997834727769831,0.9999294134255664
llama3.1,medium,framing_effect,10,100,heldout_refit_on_rule_activations,0.7231438494012351,0.5066381798317192,0.8026325703176301,0.9997834727769831,0.9999294134255664
llama3.1,medium,explanation_length,1,37,heldout_refit_on_rule_activations,0.9025390805656215,81.05154907416944,0.34682017802986603,0.9988970790957147,0.9989462592202318
llama3.1,medium,explanation_length,3,37,heldout_refit_on_rule_activations,0.9473557955231235,72.93914568245314,0.3468404345330788,1.0,1.0
llama3.1,medium,explanation_length,10,37,heldout_refit_on_rule_activations,0.9543367599017463,50.97005957072665,0.8030491219792184,1.0,1.0
gpt-4o,easy,explanation_length,1,109,heldout_refit_on_rule_activations,0.9816251760852115,27.460416526762053,0.2606280370782287,1.0,1.0
gpt-4o,easy,explanation_length,3,109,heldout_refit_on_rule_activations,0.982667154450686,27.65989081505152,0.26062597842494784,1.0,1.0
gpt-4o,easy,explanation_length,10,109,heldout_refit_on_rule_activations,0.9811418324351018,28.05727817557187,0.26061460766692474,1.0,1.0
